ปี,เดือน,จำนวนผลิตดี(ชิ้น),จำนวนผลิตเสีย(ชิ้น),จำนวนส่งซ่อม(ชิ้น),จำนวนผลิตรวม(ชิ้น),%ซ่อม,น้ำหนักรวม(กก.),กิจกรรม,ข้อมูลชิ้นงาน
2024,1,"18,740",0,35,"18,775",0.19,"10,551.73",พ่นสี,ดูข้อมูล
2024,2,"4,879",1,"1,412","6,292",22.44,"12,652.90",พ่นสี,ดูข้อมูล
2024,3,"4,516",1,41,"4,558",0.90,"15,809.60",พ่นสี,ดูข้อมูล
2024,4,"2,484",0,84,"2,568",3.27,"9,497.60",พ่นสี,ดูข้อมูล
2024,5,"3,749",1,51,"3,801",1.34,"11,577.65",พ่นสี,ดูข้อมูล
2024,6,"5,615",0,105,"5,720",1.84,"24,017.56",พ่นสี,ดูข้อมูล
2024,7,"7,053",0,25,"7,078",0.35,"24,770.73",พ่นสี,ดูข้อมูล
2024,8,"7,977",0,82,"8,059",1.02,"25,727.13",พ่นสี,ดูข้อมูล
2024,9,"20,557",0,18,"20,575",0.09,"26,538.70",พ่นสี,ดูข้อมูล
2024,10,"9,520",0,119,"9,639",1.23,"28,678.39",พ่นสี,ดูข้อมูล
