CAR No.,วันที่เอกสาร,ลูกค้า,ผลิตภัณฑ์,ชิ้นงาน,RD part,จำนวนแจ้ง/ตรวจ,พบปัญหา,Reject,แก้ไขได้,เสีย,ค่าใช้จ่าย,สถานะการแก้ไข,สถานะเอกสาร,LotRej,NoKPI,กำหนดตอบ,ตอบแล้ว
CCRP67/014,15/08/2024,ALINCO,RAC0002,Round RT 6X10.5 SUS,089008,0,0,59,0,0,0.00,เปิด,เปิด,,,15/08/2024,
CCRP67/013,15/08/2024,ALINCO,PCD0019,New OCT Anti-shake XX,089025,0,0,4,0,0,0.00,เปิด,เปิด,,,15/08/2024,
CCRP67/012,05/08/2024,ALINCO,PCD0012,New wedge's Wedge S type & up-side rivet,089017,0,0,0,0,0,0.00,ปิด,เปิด,,,05/08/2024,
CCRP67/011,25/07/2024,ALINCO,PCE0002,Brace's edge part Metal fixture XXK,089042,6,0,0,0,6,0.00,เปิด,เปิด,,,25/07/2024,
CCRP67/010,11/07/2024,ALINCO,PCD0027,New OCT Small C-shaped Metal XX (V2),089083,"6,000",0,9,9,0,0.00,เปิด,เปิด,,,11/07/2024,
CCRP67/009,24/06/2024,ALINCO,HLN0007,A Checker plate 3m A type (no rivet hole),089097,0,2,0,0,2,0.00,เปิด,เปิด,,,26/06/2024,
CCRP67/007,06/05/2024,DAIKIN COMPRESSOR,3PD04918-1,LOWER FRONT MUFFLER (RoHS),007036,0,17,17,0,0,0.00,เปิด,ยกเลิก,,,13/05/2024,
CCRP67/006,02/04/2024,ALINCO,PCD0014,New OCT System joint (จ้างทำของ),089023,"6,000",0,1,0,1,0.00,ปิด,ปิด,,,02/04/2024,
CCRP67/004,14/03/2024,B-HOLDING,TM-BS-1200600-B,BRACKET SUPPORT SHELF BACK STOCK D600,027868,2,0,2,0,2,0.00,ปิด,ปิด,,,20/03/2024,
CCRP67/005,12/03/2024,IWATANI,DBR-37,BRACKET FOR YX0 FR LH (RoHS),037002,"3,902",13,13,0,0,0.00,ปิด,ปิด,,,18/03/2024,
CCRP67/003,14/02/2024,DAIKIN COMPRESSOR,3PD05285-1,REAR MUFFLER (RoHS),007032,"6,000","6,000","6,000","6,000",0,0.00,ปิด,ปิด,,,20/02/2024,
CCRP67/002,25/01/2024,ALINCO,PCA0001,OCT C-shaped wedge set,089019,4,4,"4,339","4,339",0,0.00,ปิด,ปิด,,,29/01/2024,
CCRP67/001,05/01/2024,ALINCO,PCD0012,New wedge's Wedge S type & up-side rivet,089017,0,0,54,0,0,0.00,เปิด,ปิด,,,09/01/2024,
