เดือน,หน่วยที่ใช้(ยูนิต),ค่าน้ำ(บาท),ปริมาณการใช้ BPP (ยูนิต),ปริมาณการใช้ BEP (ยูนิต),ปริมาณการใช้แผนกพ่นสี(ยูนิต),จำนวนชิ้นงานพ่นสี(ชิ้น),น้ำหนักชิ้นงานพ่นสี(ตัน),unit/ton
มกราคม 2567,279.00,"4,713.61",325.00,,60.00,"18,775.00",10.55,5.69
กุมภาพันธ์ 2567,323.00,"5,465.00",357.00,,108.00,"6,292.00",12.65,8.54
มีนาคม 2567,269.00,"4,542.83",286.00,,58.00,"4,558.00",15.81,3.67
เมษายน 2567,249.00,"4,201.29",268.00,,103.00,"2,568.00",9.49,10.85
พฤษภาคม 2567,209.00,"3,518.20",198.00,,47.00,"3,801.00",11.58,4.06
มิถุนายน 2567,244.00,"4,115.90",254.00,,67.00,"5,720.00",24.02,2.79
กรกฎาคม 2567,231.00,"3,893.90",234.00,,50.00,"7,078.00",24.77,2.02
สิงหาคม 2567,238.00,"4,013.44",232.00,,59.00,"8,059.00",25.73,2.29
กันยายน 2567,,,,,,,,
ตุลาคม 2567,,,,,,,,
พฤศจิกายน 2567,,,,,,,,
ธันวาคม 2567,,,,,,,,
รวม:,"2,042","34,464.17","2,154.00",0.00,552.00,"56,851",134.60,4.10
